Source,Target,Weight
DFY/DCFY/CC MD,--,1
DFY/DCFY/CC MD,DSI BGP/OC,5
DFY/DCFY/DP BF,--,1
DFY/DCFY/DP BF,DSI BGP/CDE-LIV,2
DFY/DCFY/DP BF,DSI BGP/OC,2
DFY/DCFY/DP BF,DFY/ANS,1
DFY/DCFY/DP BF,DFY/DCFY,1
DFY/DCFY/DP BF,DFY/DCFY/CC MD,2
DFY/DCFY/DPT CARE,--,2
DFY/DCFY/DPT CARE,DEVRAP/DO,1
DFY/DCFY/DPT CARE,DSI BGP/CDE-LIV,5
DFY/DCFY/DPT CARE,DSI BGP/OC,5
DFY/DCFY/DPT CARE,DFY/ANS,1
DFY/DCFY/DPT CARE,DFY/DCFY,1
DFY/DCFY/DPT CARE,DFY/DCFY/CC MD,2
DFY/DCFY/DPT CARE,DFY/DCFY/DP BF,76
DFY/DCFY/DPT KM,DSI BGP/CDE-LIV,1
DFY/DCFY/DPT SHOP,--,1
DFY/DCFY/DPT SHOP,DSI BGP/CDE-LIV,5
DFY/DCFY/DPT SHOP,DSI BGP/OC,10
DFY/DCFY/DPT SHOP,DFY/DCFY/CC MD,93
DFY/DCFY/DPT SHOP,DFY/DCFY/DP BF,28
DFY/DCFY/DPT SHOP,DFY/DCFY/DPT CARE,2
DFY/DCFY/DPT SHOP,DFY/DCFY/DPT KM,17
DFY/DCFY/DT DIGITAL,DSI BGP/OC,1
DFY/DCFY/DT DIGITAL,DFY/ANS,2
DFY/DCFY/DT DIGITAL,DFY/DCFY,1
DFY/DCFY/DT DIGITAL,DFY/DCFY/DP BF,9
DFY/DCFY/DT DIGITAL,DFY/DCFY/DPT CARE,13
DFY/DCFY/DT DIGITAL,DFY/DCFY/DPT KM,5
DFY/DCFY/DT DIGITAL,DFY/DCFY/DPT SHOP,4
DFY/DCFY/OEM,--,1
DFY/DCFY/OEM,DEVRAP/DO,1
DFY/DCFY/OEM,DSI BGP/CDE-LIV,4
DFY/DCFY/OEM,DSI BGP/OC,3
DFY/DCFY/OEM,DFY/ANS,3
DFY/DCFY/OEM,DFY/DCFY,2
DFY/DCFY/OEM,DFY/DCFY/CC MD,4
DFY/DCFY/OEM,DFY/DCFY/DP BF,65
DFY/DCFY/OEM,DFY/DCFY/DPT CARE,95
DFY/DCFY/OEM,DFY/DCFY/DPT SHOP,3
DFY/DCFY/OEM,DFY/DCFY/DT DIGITAL,6
DFY/DCFY/SDC,--,1
DFY/DCFY/SDC,DEVRAP/DO,1
DFY/DCFY/SDC,DSI BGP/CDE-LIV,2
DFY/DCFY/SDC,DSI BGP/OC,4
DFY/DCFY/SDC,DFY/ANS,5
DFY/DCFY/SDC,DFY/DCFY,1
DFY/DCFY/SDC,DFY/DCFY/CC MD,1
DFY/DCFY/SDC,DFY/DCFY/DP BF,27
DFY/DCFY/SDC,DFY/DCFY/DPT CARE,70
DFY/DCFY/SDC,DFY/DCFY/DPT KM,2
DFY/DCFY/SDC,DFY/DCFY/DPT SHOP,1
DFY/DCFY/SDC,DFY/DCFY/DT DIGITAL,10
DFY/DCFY/SDC,DFY/DCFY/OEM,40
DFY/HBX/GPS/PI,DFY/HBX/DTH/AUTO,2
DFY/HBX/GPS/PM,DSI BGP/OC,1
DFY/HBX/GPS/PM,DFY/DCFY,1
DFY/HBX/GPS/PM,DFY/DCFY/CC MD,2
DFY/HBX/GPS/PM,DFY/DCFY/DP BF,3
DFY/HBX/GPS/PM,DFY/DCFY/DPT CARE,4
DFY/HBX/GPS/PM,DFY/DCFY/DPT SHOP,3
DFY/HBX/GPS/PM,DFY/DCFY/DT DIGITAL,3
DFY/HBX/GPS/PM,DFY/DCFY/OEM,1
DFY/HBX/GPS/PM,DFY/DCFY/SDC,5
DFY/HBX/GPS/PM,DFY/HBX/GPS/PI,6
DFY/HBX/GPS/PP,DFY/HBX/GPS/PI,2
DFY/HBX/GPS/PP,DFY/HBX/GPS/PM,1
DFY/HBX/INF,DFY/HBX/GPS/PI,1
DFY/HBX/INF,DFY/HBX/GPS/PM,2
DFY/HBX/INF/CSI,DFY/DCFY/CC MD,1
DFY/HBX/INF/CSI,DFY/DCFY/DPT SHOP,1
DFY/HBX/INF/CSI,DFY/HBX/DTH/AUTO,8
DFY/HBX/INF/CSI,DFY/HBX/GPS/PI,7
DFY/HBX/INF/CSI,DFY/HBX/GPS/PM,7
DFY/HBX/INF/CSI,DFY/HBX/GPS/PP,3
DFY/HBX/INF/CSI,DFY/HBX/INF,2
DFY/HBX/INF/ING,DFY/HBX/DTH/AUTO,2
DFY/HBX/INF/ING,DFY/HBX/GPS/PI,11
DFY/HBX/INF/ING,DFY/HBX/GPS/PM,3
DFY/HBX/INF/ING,DFY/HBX/GPS/PP,2
DFY/HBX/INF/ING,DFY/HBX/INF,5
